CHROM	FRAG_START	FRAG_STOP	STRAND	DESCRITION	MODEL
Chr1	22841	26971	+	"ID=LOC_Os01g01050.1;Name=LOC_Os01g01050.1;Parent=LOC_Os01g01050"	LOC_Os01g01050.1
Chr1	27136	28651	+	"ID=LOC_Os01g01060.1;Name=LOC_Os01g01060.1;Parent=LOC_Os01g01060"	LOC_Os01g01060.1
Chr1	29818	34493	+	"ID=LOC_Os01g01070.1;Name=LOC_Os01g01070.1;Parent=LOC_Os01g01070"	LOC_Os01g01070.1
Chr1	35581	41180	+	"ID=LOC_Os01g01080.1;Name=LOC_Os01g01080.1;Parent=LOC_Os01g01080"	LOC_Os01g01080.1
Chr1	57082	57972	+	"ID=LOC_Os01g01110.1;Name=LOC_Os01g01110.1;Parent=LOC_Os01g01110"	LOC_Os01g01110.1
Chr1	62059	63576	+	"ID=LOC_Os01g01120.1;Name=LOC_Os01g01120.1;Parent=LOC_Os01g01120"	LOC_Os01g01120.1
Chr1	63244	66302	-	"ID=LOC_Os01g01130.1;Name=LOC_Os01g01130.1;Parent=LOC_Os01g01130"	LOC_Os01g01130.1
Chr1	2903	10817	+	"ID=LOC_Os01g01010.1;Name=LOC_Os01g01010.1;Parent=LOC_Os01g01010"	LOC_Os01g01010.1
Chr1	11218	12435	+	"ID=LOC_Os01g01019.1;Name=LOC_Os01g01019.1;Parent=LOC_Os01g01019"	LOC_Os01g01019.1
Chr1	12648	15915	+	"ID=LOC_Os01g01030.1;Name=LOC_Os01g01030.1;Parent=LOC_Os01g01030"	LOC_Os01g01030.1
Chr1	170712	173191	-	"ID=LOC_Os01g01350.1;Name=LOC_Os01g01350.1;Parent=LOC_Os01g01350"	LOC_Os01g01350.1
Chr1	178310	180812	+	"ID=LOC_Os01g01360.1;Name=LOC_Os01g01360.1;Parent=LOC_Os01g01360"	LOC_Os01g01360.1
Chr1	186246	190846	-	"ID=LOC_Os01g01369.1;Name=LOC_Os01g01369.1;Parent=LOC_Os01g01369"	LOC_Os01g01369.1
Chr1	197647	200803	+	"ID=LOC_Os01g01390.3;Name=LOC_Os01g01390.3;Parent=LOC_Os01g01390"	LOC_Os01g01390.3
Chr1	201944	206743	+	"ID=LOC_Os01g01400.1;Name=LOC_Os01g01400.1;Parent=LOC_Os01g01400"	LOC_Os01g01400.1
Chr1	205710	209606	-	"ID=LOC_Os01g01410.1;Name=LOC_Os01g01410.1;Parent=LOC_Os01g01410"	LOC_Os01g01410.1
Chr1	216126	217664	+	"ID=LOC_Os01g01430.1;Name=LOC_Os01g01430.1;Parent=LOC_Os01g01430"	LOC_Os01g01430.1
Chr1	226897	229329	+	"ID=LOC_Os01g01450.1;Name=LOC_Os01g01450.1;Parent=LOC_Os01g01450"	LOC_Os01g01450.1
Chr1	248706	256878	-	"ID=LOC_Os01g01484.1;Name=LOC_Os01g01484.1;Parent=LOC_Os01g01484"	LOC_Os01g01484.1
Chr1	72775	78702	+	"ID=LOC_Os01g01150.2;Name=LOC_Os01g01150.2;Parent=LOC_Os01g01150"	LOC_Os01g01150.2
Chr1	82428	84302	+	"ID=LOC_Os01g01160.1;Name=LOC_Os01g01160.1;Parent=LOC_Os01g01160"	LOC_Os01g01160.1
Chr1	85337	88844	+	"ID=LOC_Os01g01170.1;Name=LOC_Os01g01170.1;Parent=LOC_Os01g01170"	LOC_Os01g01170.1
Chr1	89653	91521	-	"ID=LOC_Os01g01190.1;Name=LOC_Os01g01190.1;Parent=LOC_Os01g01190"	LOC_Os01g01190.1
Chr1	139820	141588	+	"ID=LOC_Os01g01290.1;Name=LOC_Os01g01290.1;Parent=LOC_Os01g01290"	LOC_Os01g01290.1
Chr1	145577	147852	+	"ID=LOC_Os01g01302.1;Name=LOC_Os01g01302.1;Parent=LOC_Os01g01302"	LOC_Os01g01302.1
Chr1	148045	150577	+	"ID=LOC_Os01g01307.1;Name=LOC_Os01g01307.1;Parent=LOC_Os01g01307"	LOC_Os01g01307.1
Chr1	168470	170389	-	"ID=LOC_Os01g01340.1;Name=LOC_Os01g01340.1;Parent=LOC_Os01g01340"	LOC_Os01g01340.1
Chr1	303103	306800	+	"ID=LOC_Os01g01600.1;Name=LOC_Os01g01600.1;Parent=LOC_Os01g01600"	LOC_Os01g01600.1
Chr1	319713	322248	+	"ID=LOC_Os01g01640.1;Name=LOC_Os01g01640.1;Parent=LOC_Os01g01640"	LOC_Os01g01640.1
Chr1	327128	328451	-	"ID=LOC_Os01g01660.1;Name=LOC_Os01g01660.1;Parent=LOC_Os01g01660"	LOC_Os01g01660.1
Chr1	330238	332339	-	"ID=LOC_Os01g01670.2;Name=LOC_Os01g01670.2;Parent=LOC_Os01g01670"	LOC_Os01g01670.2
