CHROM	FRAG_START	FRAG_STOP	STRAND	DESCRITION	MODEL	ATG	INCLUDE?		HAS TSS	IN
Chr1	23232	23281	+	"ID=LOC_Os01g01050.1:cds_1;Parent=LOC_Os01g01050.1"	LOC_Os01g01050.1	23232	1		LOC_Os01g01050.1	1
Chr1	27221	27292	+	"ID=LOC_Os01g01060.1:cds_1;Parent=LOC_Os01g01060.1"	LOC_Os01g01060.1	27221	1		LOC_Os01g01060.1	1
Chr1	29940	29976	+	"ID=LOC_Os01g01070.1:cds_1;Parent=LOC_Os01g01070.1"	LOC_Os01g01070.1	29940	1		LOC_Os01g01070.1	1
Chr1	35743	35939	+	"ID=LOC_Os01g01080.1:cds_1;Parent=LOC_Os01g01080.1"	LOC_Os01g01080.1	35743	1		LOC_Os01g01080.1	1
Chr1	62104	62295	+	"ID=LOC_Os01g01120.1:cds_1;Parent=LOC_Os01g01120.1"	LOC_Os01g01120.1	62104	1		LOC_Os01g01110.1	1
Chr1	65628	65950	-	"ID=LOC_Os01g01130.1:cds_1;Parent=LOC_Os01g01130.1"	LOC_Os01g01130.1	65950	1		LOC_Os01g01120.1	1
Chr1	3449	3616	+	"ID=LOC_Os01g01010.1:cds_1;Parent=LOC_Os01g01010.1"	LOC_Os01g01010.1	3449	1		LOC_Os01g01130.1	1
Chr1	11798	12060	+	"ID=LOC_Os01g01019.1:cds_1;Parent=LOC_Os01g01019.1"	LOC_Os01g01019.1	11798	1		LOC_Os01g01010.1	1
Chr1	12774	13813	+	"ID=LOC_Os01g01030.1:cds_1;Parent=LOC_Os01g01030.1"	LOC_Os01g01030.1	12774	1		LOC_Os01g01019.1	1
Chr1	16599	16976	+	"ID=LOC_Os01g01040.1:cds_1;Parent=LOC_Os01g01040.1"	LOC_Os01g01040.1	16599	1		LOC_Os01g01030.1	1
Chr1	173004	173072	-	"ID=LOC_Os01g01350.1:cds_1;Parent=LOC_Os01g01350.1"	LOC_Os01g01350.1	173072	1		LOC_Os01g01350.1	1
Chr1	190087	190231	-	"ID=LOC_Os01g01369.1:cds_1;Parent=LOC_Os01g01369.1"	LOC_Os01g01369.1	190231	1		LOC_Os01g01360.1	1
Chr1	193864	195429	+	"ID=LOC_Os01g01380.1:cds_1;Parent=LOC_Os01g01380.1"	LOC_Os01g01380.1	193864	1		LOC_Os01g01369.1	1
Chr1	198130	198225	+	"ID=LOC_Os01g01390.3:cds_1;Parent=LOC_Os01g01390.3"	LOC_Os01g01390.3	198130	1		LOC_Os01g01390.3	1
Chr1	202042	202110	+	"ID=LOC_Os01g01400.1:cds_1;Parent=LOC_Os01g01400.1"	LOC_Os01g01400.1	202042	1		LOC_Os01g01400.1	1
Chr1	209438	209525	-	"ID=LOC_Os01g01410.1:cds_1;Parent=LOC_Os01g01410.1"	LOC_Os01g01410.1	209525	1		LOC_Os01g01410.1	1
Chr1	210238	210563	+	"ID=LOC_Os01g01420.2:cds_1;Parent=LOC_Os01g01420.2"	LOC_Os01g01420.2	210238	1		LOC_Os01g01430.1	1
Chr1	227182	227634	+	"ID=LOC_Os01g01450.1:cds_1;Parent=LOC_Os01g01450.1"	LOC_Os01g01450.1	227182	1		LOC_Os01g01450.1	1
Chr1	241908	242091	+	"ID=LOC_Os01g01470.1:cds_1;Parent=LOC_Os01g01470.1"	LOC_Os01g01470.1	241908	1		LOC_Os01g01484.1	1
Chr1	261562	261661	+	"ID=LOC_Os01g01510.1:cds_1;Parent=LOC_Os01g01510.1"	LOC_Os01g01510.1	261562	1		LOC_Os01g01150.2	1
Chr1	72903	73935	+	"ID=LOC_Os01g01150.2:cds_1;Parent=LOC_Os01g01150.2"	LOC_Os01g01150.2	72903	1		LOC_Os01g01160.1	1
Chr1	82507	82932	+	"ID=LOC_Os01g01160.1:cds_1;Parent=LOC_Os01g01160.1"	LOC_Os01g01160.1	82507	1		LOC_Os01g01170.1	1
Chr1	85379	85600	+	"ID=LOC_Os01g01170.1:cds_1;Parent=LOC_Os01g01170.1"	LOC_Os01g01170.1	85379	1		LOC_Os01g01190.1	1
Chr1	89825	91468	-	"ID=LOC_Os01g01190.1:cds_1;Parent=LOC_Os01g01190.1"	LOC_Os01g01190.1	91468	1		LOC_Os01g01290.1	1
Chr1	148147	148313	+	"ID=LOC_Os01g01307.1:cds_1;Parent=LOC_Os01g01307.1"	LOC_Os01g01307.1	148147	1		LOC_Os01g01302.1	1
Chr1	170091	170260	-	"ID=LOC_Os01g01340.1:cds_1;Parent=LOC_Os01g01340.1"	LOC_Os01g01340.1	170260	1		LOC_Os01g01307.1	1
Chr1	303329	303471	+	"ID=LOC_Os01g01600.1:cds_1;Parent=LOC_Os01g01600.1"	LOC_Os01g01600.1	303329	1		LOC_Os01g01340.1	1
Chr1	308397	308601	-	"ID=LOC_Os01g01610.1:cds_1;Parent=LOC_Os01g01610.1"	LOC_Os01g01610.1	308601	1		LOC_Os01g01600.1	1
Chr1	312867	313064	-	"ID=LOC_Os01g01620.1:cds_1;Parent=LOC_Os01g01620.1"	LOC_Os01g01620.1	313064	1		LOC_Os01g01640.1	1
Chr1	319875	320236	+	"ID=LOC_Os01g01640.1:cds_1;Parent=LOC_Os01g01640.1"	LOC_Os01g01640.1	319875	1		LOC_Os01g01660.1	1
Chr1	323054	323846	-	"ID=LOC_Os01g01650.1:cds_1;Parent=LOC_Os01g01650.1"	LOC_Os01g01650.1	323846	1		LOC_Os01g01670.2	1
Chr1	327618	328398	-	"ID=LOC_Os01g01660.1:cds_1;Parent=LOC_Os01g01660.1"	LOC_Os01g01660.1	328398	1		LOC_Os01g01680.1	1
Chr1	331630	332274	-	"ID=LOC_Os01g01670.2:cds_1;Parent=LOC_Os01g01670.2"	LOC_Os01g01670.2	332274	1		LOC_Os01g01700.1	1
Chr1	332758	333636	-	"ID=LOC_Os01g01680.1:cds_1;Parent=LOC_Os01g01680.1"	LOC_Os01g01680.1	333636	1		LOC_Os01g01710.1	1
Chr1	371911	372070	+	"ID=LOC_Os01g01700.1:cds_1;Parent=LOC_Os01g01700.1"	LOC_Os01g01700.1	371911	1		LOC_Os01g01720.1	1
Chr1	380398	380488	-	"ID=LOC_Os01g01710.1:cds_1;Parent=LOC_Os01g01710.1"	LOC_Os01g01710.1	380488	1		LOC_Os01g01740.1	1
